full_name,Spectral_type,diameter,sma,ecc,incl,RAAN,AOP,MA,epoch,moid
   433 Eros (1898 DQ),S,16.84,1.458112259,0.222735721,10.82856733,304.3062625,178.8213598,47.23946001,2458600.5,0.149341
  1036 Ganymed (1924 TD),S,37.675,2.664145333,0.533234731,26.68761299,215.5575047,132.3963556,274.1561978,2458600.5,0.343497
  1620 Geographos (1951 RA),S,2.56,1.245302339,0.335440517,13.33734786,337.1954001,276.9150351,311.5329664,2458600.5,0.0298285
  1627 Ivar (1929 SH),S,9.12,1.863481493,0.39661326,8.450367691,133.1221744,167.7698102,101.5580084,2458600.5,0.11161
  1685 Toro (1948 OA),S,3.4,1.367431915,0.436061382,9.383416689,274.2458433,127.2205979,43.69210506,2458600.5,0.0507259
  1862 Apollo (1932 HA),Q,1.5,1.470045105,0.559823398,6.355123008,35.63054465,285.9707515,227.3798256,2458600.5,0.0259212
  1863 Antinous (1948 EA),Sq,2.1,2.258732647,0.606567807,18.40010586,346.4438822,268.0619559,313.660446,2458600.5,0.182839
  1864 Daedalus (1971 FA),Sr,3.7,1.461087899,0.61437609,22.20872496,6.633243484,325.6260411,357.9815288,2458600.5,0.269151
  1865 Cerberus (1971 UA),S,1.2,1.080048255,0.466865603,16.09630965,212.9252352,325.2556214,12.03974233,2458600.5,0.156505
  1866 Sisyphus (1972 XA),S,8.48,1.893971556,0.538063879,41.20139087,63.49506347,293.0598919,312.9148639,2458600.5,0.104496
  1916 Boreas (1953 RA),S,3.5,2.273106338,0.449449654,12.87719554,340.6145572,335.839931,64.70467707,2458600.5,0.252456
  1917 Cuyo (1968 AA),Sl,5.7,2.148813259,0.505604364,23.96210856,188.311229,194.5301336,129.4029355,2458600.5,0.071629
  1943 Anteros (1973 EC),L,2.3,1.430457204,0.256000702,8.706410856,246.3308388,338.392153,317.7819363,2458600.5,0.0622122
  1980 Tezcatlipoca (1950 LA),Sl,4.3,1.709520974,0.364744372,26.8695904,246.5742663,115.4530666,233.2322647,2458600.5,0.245309
  1981 Midas (1973 EA),V,3.4,1.776599538,0.650353418,39.82689587,356.8863021,267.7977399,146.268712,2458600.5,0.00371125
  2062 Aten (1976 AA),Sr,1.1,0.966789832,0.182717134,18.93368681,108.6003764,148.0354056,172.2677628,2455926.5,0.113146
  2100 Ra-Shalom (1978 RA),Xc,2.3,0.832030193,0.436498455,15.75341876,170.8136989,356.0610619,12.26948934,2458600.5,0.149853
  2102 Tantalus (1975 YA),Q,1.649,1.290099741,0.299181508,64.00689761,94.36244651,61.53939808,172.9411295,2458600.5,0.0434647
  2201 Oljato (1947 XC),Sq,1.8,2.174290203,0.712902838,2.522431728,74.98800058,98.26027815,80.08208778,2458600.5,0.00318058
  3102 Krok (1981 QA),S,1.6,2.15117111,0.44932833,8.441434705,172.0740747,154.7154227,336.9429307,2458600.5,0.183489
  3103 Eger (1982 BB),Xe,1.5,1.404185282,0.354235454,20.92911271,129.7623724,254.0686244,199.3738319,2458600.5,0.079032
  3122 Florence (1981 ET3),S,4.9,1.768889519,0.423060108,22.14239422,336.0804438,27.84121981,242.8720761,2458600.5,0.0441982
  3199 Nefertiti (1982 RA),Sq,2.2,1.574459175,0.284146115,32.96161689,340.0066303,53.40777463,161.2485686,2458600.5,0.215293
  3200 Phaethon (1983 TB),B,6.25,1.271372811,0.889897661,22.26024405,265.216236,322.1855106,313.9389767,2458600.5,0.0195545
  3288 Seleucus (1982 DV),K,2.8,2.033192006,0.456058684,5.930310138,218.6516956,349.3260862,281.1052473,2458600.5,0.102357
  3552 Don Quixote (1983 SA),D,19,4.258927154,0.708843964,31.08108157,350.0027591,316.4480835,39.74116015,2458600.5,0.333524
  3671 Dionysus (1984 KD),Cb,1.5,2.198616231,0.541543592,13.53438918,82.08738691,204.2520933,247.0577376,2458600.5,0.0206197
  3691 Bede (1982 FT),Xc,4.3,1.77444653,0.284152729,20.35728376,348.7552861,234.9387484,231.2033371,2458600.5,0.351907
  3753 Cruithne (1986 TO),Q,2.071,0.997694154,0.514809171,19.80564944,126.2272109,43.8400487,130.8599698,2458600.5,0.0708517
  3908 Nyx (1980 PA),V,1,1.927084706,0.459476247,2.185926605,261.2510573,126.6051178,149.1822819,2458600.5,0.0556973
  4055 Magellan (1985 DO2),V,2.49,1.82028778,0.326178853,23.25238269,164.8345161,154.3792142,184.6453081,2458600.5,0.239016
  4179 Toutatis (1989 AC),Sk,5.4,2.543228264,0.626090264,0.447799242,125.1852585,278.0810744,214.2215089,2458600.5,0.00640764
  4183 Cuno (1959 LM),Sq,2.945,1.982718743,0.634286701,6.704164977,294.8739993,236.3587831,190.1366773,2458600.5,0.0284265
  4197 Morpheus (1982 TA),Sq,1.8,2.29583027,0.77184131,12.57879092,7.13084271,122.4263277,149.8604592,2458600.5,0.0984312
  4688 (1980 WF),V,0.6,2.235405907,0.516211594,6.378793881,241.3095843,213.6531186,174.5925418,2458600.5,0.112894
  4954 Eric (1990 SQ),S,10.8,2.001160097,0.449434801,17.42800578,358.4460076,52.60981848,11.63360723,2458600.5,0.194159
  4957 Brucemurray (1990 XJ),S,3.499,1.565445454,0.218936162,35.0119581,254.9007914,97.46585636,224.0978508,2458600.5,0.425231
  5143 Heracles (1991 VL),O,4.843,1.833626499,0.772100458,9.02897645,309.4901811,227.8023888,331.9117556,2458600.5,0.0584024
  5587 (1990 SB),Sq,3.57,2.396500134,0.544786734,18.09711644,189.9564156,86.77114976,293.0008467,2458600.5,0.306512
  5604 (1992 FE),V,0.55,0.928744938,0.406040101,4.713370241,311.9349101,82.6105808,227.0445698,2458600.5,0.0334274
  5646 (1990 TR),U,4.3,2.14374653,0.435660476,7.904975065,14.12200814,335.7267841,46.85564855,2458600.5,0.21186
  5751 Zao (1992 AC),X,2.3,2.103180129,0.423419267,16.07083384,121.6733393,25.24463064,328.0073737,2458600.5,0.245362
  6053 (1993 BW3),Sq,3.72,2.146630396,0.528883541,21.57813116,318.3120001,74.87797507,175.5766665,2458600.5,0.221011
  6455 (1992 HE),S,4.626,2.24067705,0.572554028,37.34284405,26.95292002,262.7398309,2.371286624,2458600.5,0.289287
  6489 Golevka (1991 JX),Q,0.53,2.502473956,0.605296547,2.27648076,211.0620215,66.65547374,274.4136345,2452464.5,0.0280499
  7482 (1994 PC1),S,1.052,1.346240044,0.328238726,33.4867211,117.8854793,47.63358425,66.07736125,2458600.5,0.000166392
  7822 (1991 CS),S,1.602,1.122893541,0.164698621,37.1199433,156.8574635,249.4391246,325.4990989,2458600.5,0.022164
  7889 (1994 LX),V,1.68,1.261413273,0.346293299,36.90898365,111.2786554,349.1392268,25.9271915,2458600.5,0.154267
  8201 (1994 AH2),O,1.859,2.53724042,0.706977879,9.553656003,164.1054989,25.13314306,71.75678884,2458600.5,0.101523
  8566 (1996 EN),U,1.568,1.506377944,0.430393736,37.97291496,164.1359846,125.1203366,103.9097269,2458600.5,0.0220273
 10115 (1992 SK),S:,0.938,1.248441188,0.324824273,15.32072624,8.91822061,233.649313,111.4191743,2458600.5,0.0456965
 10165 (1995 BL2),L,0.829,1.234694871,0.503771364,23.89566894,312.4408482,348.4309414,94.90341983,2458600.5,0.37596
 11066 Sigurd (1992 CC1),K,2.778,1.391579377,0.375274131,36.87786937,349.2357428,22.00373373,314.3293011,2458600.5,0.118482
 11398 (1998 YP11),Sr,1.316,1.720810908,0.388953332,15.02466036,144.7914689,74.70344863,313.7788393,2458600.5,0.203252
 11500 Tomaiyowit (1989 UR),S,0.738,1.079645465,0.355722773,10.31051209,234.4360319,289.4439102,6.873617808,2458600.5,0.0342079
 12538 (1998 OH),S:,1.663,1.541615161,0.405942446,24.52816135,220.7465853,321.72886,7.271595381,2458600.5,0.0286685
 12923 Zephyr (1999 GK4),S:,2.06,1.961954177,0.491835241,5.303308568,168.2051673,147.0430497,54.47276138,2458600.5,0.021265
 13651 (1997 BR),S,0.562,1.335489027,0.305728131,17.24797685,116.6660065,133.8046253,65.49330674,2458600.5,0.0147416
 14402 (1991 DB),C,0.6,1.714878402,0.401902146,11.41672287,158.2343139,51.37620175,167.8902331,2458600.5,0.102802
 16064 Davidharvey (1999 RH27),C,4.106,2.849857902,0.589230406,4.539658768,335.5707688,104.8036394,353.8311004,2458600.5,0.2037
 16834 (1997 WU22),S,1.87,1.467985351,0.442168515,15.99048881,260.7974944,334.3257974,219.2078939,2458600.5,0.145955
 17274 (2000 LC16),Xk,3.183,2.734847166,0.553223807,5.568494463,305.7577095,21.30096692,53.36570991,2458600.5,0.212293
 19356 (1997 GH3),S,0.91,2.501810616,0.562797742,3.004427928,186.7028487,333.8775369,217.5175599,2458600.5,0.105203
 25330 (1999 KV4),B,3.21,1.54030757,0.370808287,14.32846712,50.60305135,85.98864909,178.1981895,2458600.5,0.172981
 35107 (1991 VH),Sk,0.908,1.137453251,0.144254454,13.91042623,139.3565098,206.9420795,275.3676536,2458600.5,0.026301
 36183 (1999 TX16),Ld,2.339,1.551242307,0.332347232,38.22366361,54.66505627,311.1933253,68.2381435,2458600.5,0.135102
 40267 (1999 GJ4),Sq,1.641,1.338678873,0.808321159,34.49021009,148.2291934,211.9308715,203.9473992,2458600.5,0.156663
 48603 (1995 BC2),X,0.844,1.917303943,0.430356547,5.024965848,328.2878361,81.75578631,80.65476103,2458600.5,0.135685
 53319 (1999 JM8),X:,7,2.725979376,0.641439177,13.83471487,133.6226757,166.7837396,150.3630311,2458600.5,0.0247197
 54686 (2001 DU8),S,1.349,1.776656889,0.341949941,33.20317153,161.7130707,265.9327557,294.9827161,2458600.5,0.433381
