spkid,a,e,i,om,w,ma,epoch,diameter,spec_B
2000001,2.769165149,0.076009027,10.5940672,80.3055309,73.5976947,77.37209752,2458600.5,939.4,C
2000005,2.57403728,0.190913344,5.367427136,141.5710265,358.648418,17.84634261,2459000.5,106.699,S
2000006,2.424532679,0.203218827,14.73965325,138.6434317,239.7362735,190.6864961,2459000.5,185.18,S
2000007,2.387375341,0.230145044,5.521598101,259.5639415,145.2015458,247.4258117,2459000.5,199.83,S
2000010,3.142435384,0.11211732,3.831786066,283.1984443,312.4129317,222.8505434,2459000.5,407.12,C
2000014,2.586377164,0.166249875,9.121448018,86.12399134,97.80167193,259.7957123,2459000.5,152,S
2000015,2.643689742,0.186177698,11.75361935,292.9347981,98.59525006,15.02560935,2459000.5,231.689,S
2000016,2.922775574,0.133531208,3.096559879,150.0406823,229.0268171,7.048521059,2459000.5,226,X
2000018,2.295708701,0.217505332,10.13158957,150.3651823,228.0776863,20.4621022,2459000.5,139.594,S
2000020,2.409358167,0.142493783,0.708566914,206.0132179,257.3509375,222.4603219,2459000.5,135.68,S
2000022,2.910347528,0.098049766,13.70173622,66.0046455,357.2564762,274.6358419,2459000.5,167.536,X
2000023,2.625114956,0.234751726,10.11400359,66.84479952,60.63247371,68.51282982,2459000.5,107.53,S
2000025,2.399561513,0.254895612,21.60666665,214.1202789,90.30961935,278.8823407,2459000.5,61.054,S
2000026,2.655210373,0.089828319,3.562758698,45.77913563,193.5713965,196.7396739,2459000.5,94.8,S
2000027,2.346231774,0.173130991,1.583696605,94.78724747,356.3779246,85.06235425,2459000.5,96,S
2000028,2.776153052,0.151782123,9.429957177,144.2869369,344.0095155,358.7646027,2459000.5,120.9,S
2000029,2.554818381,0.072959119,6.081867523,356.3358682,63.27357027,20.89746563,2459000.5,189.559,S
2000032,2.587221171,0.081634436,5.52163372,220.386723,339.0706078,127.0513077,2459000.5,80.76,S
2000035,2.994191155,0.225308204,7.932409877,353.7187615,213.4265346,291.3024208,2459000.5,103.055,C
2000037,2.642047372,0.175645297,3.070926852,7.258074506,62.77226728,73.39732612,2459000.5,108.35,S
2000039,2.768872125,0.111456916,10.37000922,156.9480144,209.306278,26.96827476,2459000.5,179.484,S
2000040,2.266890393,0.047191653,4.257392093,94.18885908,269.4974413,223.2722019,2459000.5,111.251,S
2000045,2.719269795,0.084164524,6.605580796,147.6001813,87.79616653,126.6509964,2459000.5,202.327,C
2000052,3.094249387,0.110441969,7.478465253,128.6006928,343.366455,309.8657103,2459000.5,303.918,C
2000054,2.71102796,0.197302577,11.79820859,313.2467643,345.05048,106.624266,2459000.5,160.12,C
2000055,2.760437589,0.143246422,7.17940419,10.36964233,5.385958668,86.99154515,2459000.5,84.794,X
2000057,3.154342096,0.112387184,15.20416551,199.1679347,210.6403998,213.7129666,2459000.5,112.59,S
2000060,2.392111751,0.184845741,3.600511108,191.5465315,271.2181068,314.9727984,2459000.5,43.218,S
2000061,2.984005917,0.165023135,18.20999759,333.5718493,12.47044352,348.6174389,2459000.5,85.937,S
2000067,2.421378228,0.185148302,6.02890713,202.4112748,106.8904766,23.27042699,2459000.5,56.309,S
2000069,2.976822652,0.170260304,8.590967393,184.9850105,289.1127747,17.89713811,2459000.5,138.13,X
2000074,2.780263374,0.235849289,4.070703508,197.1434013,174.53822,359.6915811,2459000.5,118.71,C
